system:index,BIOME_NAME,GIS_AREA,GOV_TYPE,IUCN_CAT,ORIG_NAME,OWN_TYPE,STATUS_YR,WDPA_PID,band_name,boundary_x_count,boundary_x_mean,boundary_x_stdDev,buffer_x_count,buffer_x_mean,buffer_x_stdDev,gHM,year,.geo
3,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b04,6383,1.1932529151947704,0.8509222617151431,46262,1.1638830740300947,0.8413157686333472,0.018297615896897,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,NDVI,6383,0.0001063320386725562,9.138128067883017e-05,46262,0.00012163627707379664,9.812075494175707e-05,0.018297615896897,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,BSI,6383,5.958445079200429e-05,4.6091321954810505e-05,46262,6.570944496833959e-05,4.82461539891644e-05,0.018297615896897,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
0,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b01,6383,1.2594559564270786,0.9392251744839052,46262,1.194454972850113,0.9245197978941854,0.018297615896897,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b02,6383,1.1003950205764552,0.7854939984076215,46262,1.018521948543741,0.7525100429171029,0.018297615896897,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b03,6383,1.1289027289967415,0.833743243873935,46262,1.0924286717318676,0.8394290225899004,0.018297615896897,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b04,6383,1.2259286611118234,0.921781107772858,46262,1.1642305059563414,0.9107671310313632,0.018297615896897,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,NDVI,6383,0.00011036471738736642,9.237460201508632e-05,46262,0.00012429888335065774,9.910748411438432e-05,0.018297615896897,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,BSI,6383,6.263820794113768e-05,4.601548854042026e-05,46262,6.869314401061443e-05,4.8915835113002624e-05,0.018297615896897,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
0,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b01,6383,1.0341353425176314,0.8080233160443832,46262,0.9589311880187744,0.7821698636388382,0.018297615896897,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b02,6383,0.9135538269672072,0.6783708144942381,46262,0.8289355308757494,0.6360699516101876,0.018297615896897,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b03,6383,0.93613328538035,0.7185933794363538,46262,0.8856639272715336,0.7133278780407116,0.018297615896897,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b04,6383,1.0031998404731477,0.7891014296440954,46262,0.9324084316876596,0.7702592571024113,0.018297615896897,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,NDVI,6383,0.00010596513402751728,8.701104251072005e-05,46262,0.00011752855971071573,8.938655907316587e-05,0.018297615896897,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,BSI,6383,6.444134715059889e-05,4.650036995013566e-05,46262,6.985783451558767e-05,4.810385415842205e-05,0.018297615896897,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
0,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b01,6383,1.1760320613425743,0.8205101953882773,46262,1.2011878653103538,0.8340016518534606,0.018297615896897,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b02,6383,1.0466973094051752,0.722146006045954,46262,1.0397263517181454,0.7228057812286104,0.018297615896897,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b03,6383,1.0400740211623627,0.7244060748445585,46262,1.074357454773352,0.738491621141312,0.018297615896897,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b04,6383,1.1325672250716867,0.7987741809911871,46262,1.1622563247883808,0.8105153404549547,0.018297615896897,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
