Study.name,Binomial,original.n.ind,final.n.ind,total.n.pts,start.date,end.date,total.days,median.interval.mins,sd.interval.mins,ave.long,ave.lat,countries,iso
fishing_cat_sl,Prionailurus viverrinus,4,4,20948,7/20/15,8/18/22,2586,10,109.4,79.929263,6.88283113,Sri Lanka,LKA
procapra_gutturosa_mongolia,Procapra gutturosa,5,5,100592,9/23/19,2/14/24,1605,60,5,110.415609,46.1111091,Mongolia,MNG
tibetan_gazelle_chiatung,Procapra picticaudata,6,6,2894,8/23/22,3/13/25,933,1440,NA,97.5826168,33.3318045,China,CHN
procyon_lotor_2011_uckermark,Procyon lotor,8,8,16682,5/23/11,11/26/11,187,40,297.1,13.6549826,53.3410269,Germany,DEU
procyon_lotor_berlin,Procyon lotor,19,19,209580,9/9/16,11/9/20,1522,12,3106.4,13.3987671,52.5269391,Germany,DEU
procyon_lotor_wa_pr,Procyon lotor,13,13,17769,5/12/21,7/10/23,789,11,488.6,8.89891178,50.4100711,Germany,DEU
raccoon_brandenburg,Procyon lotor,30,27,153146,5/22/20,8/30/23,1195,4,234.1,13.7709358,53.3792853,Germany,DEU
raccoon_siuc,Procyon lotor,17,17,2934,4/28/22,2/25/23,303,901,1710.4,-80.323614,25.2473157,"NA, United States of America","NA, USA"
raccoon_south_carolina,Procyon lotor,46,46,55066,9/7/18,4/20/22,1321,120,711.5,-81.649798,33.2590622,United States of America,USA
white_sifaka_fichtel,Propithecus verreauxi,9,9,9379,10/18/16,4/19/17,183,30,4670.6,44.6737526,-20.073759,Madagascar,MDG
puma_concolor_argentina,Puma concolor,44,44,185743,1/30/19,5/28/24,1945,180,402.5,-70.243379,-48.041797,"Argentina, NA","ARG, NA"
puma_concolor_brazil,Puma concolor,13,13,55619,7/6/15,7/30/20,1851,60,167.2,-49.339091,-21.80042,Brazil,BRA
puma_concolor_california,Puma concolor,91,88,267827,3/11/09,12/17/24,5760,240,8477.4,-122.04398,37.1229209,"United States of America, NA","USA, NA"
caribou_ab_sk_canada,Rangifer tarandus,8,8,17419,12/24/12,11/5/15,1046,60,303.5,-109.95808,55.6017449,Canada,CAN
caribou_ontario,Rangifer tarandus,123,123,406220,2/20/10,4/1/13,1136,150,841.3,-89.503166,51.1716973,Canada,CAN
reindeer_norway,Rangifer tarandus,116,116,544147,3/20/01,1/13/23,7969,180,1423.2,8.35099725,60.7747186,Norway,-99
chamois_orlu_france,Rupicapra pyrenaica,57,57,300170,6/25/16,7/31/23,2592,119,1236.2,1.96415919,42.6507412,France,-99
chamois_bauges_france,Rupicapra rupicapra,255,255,1201331,9/14/03,9/15/23,7306,59,2907,6.22301573,45.6525178,France,-99
philippine_deer_guam,Rusa marianna,9,9,11175,8/8/19,7/2/20,329,240,1113,144.879619,13.6123878,"NA, Guam","NA, GUM"
wild_boar_france,Sus scrofa,71,71,405610,2/1/18,11/26/24,2490,30,138.4,3.518179,43.8614158,France,-99
wild_boar_japan,Sus scrofa,16,16,22819,1/12/16,3/13/19,1156,30,99,140.965964,37.4574862,Japan,JPN
wild_pig_guam,Sus scrofa,13,10,7548,8/8/19,6/30/20,327,240,613.9,144.900884,13.5899384,"NA, Guam","NA, GUM"
wildboar_czech,Sus scrofa,107,100,720241,12/10/13,4/16/23,3414,30,1260,14.4033508,50.0331725,Czechia,CZE
wildboar_euromammals_11_42,Sus scrofa,8,8,31487,7/25/13,3/10/18,1689,60,2035.1,16.8315847,49.4569118,Czechia,CZE
wildboar_euromammals_11_44,Sus scrofa,6,6,27643,8/11/14,7/23/18,1442,60,720.5,14.2045227,49.3364631,Czechia,CZE
wildboar_euromammals_11_45,Sus scrofa,12,12,55832,12/20/12,10/12/17,1757,120,203.4,14.0557679,48.7739761,"Czechia, Germany, Austria","CZE, DEU, AUT"
wildboar_euromammals_13_11,Sus scrofa,4,4,30509,6/8/11,11/21/13,897,30,23.4,5.48979665,50.580287,Belgium,BEL
wildboar_euromammals_13_12,Sus scrofa,2,2,7299,7/28/16,8/30/17,398,60,36.4,4.56458875,50.0030287,Belgium,BEL
wildboar_euromammals_13_13,Sus scrofa,20,20,69547,6/8/05,7/11/12,2590,45,371,5.10680401,50.1802034,Belgium,BEL
wildboar_euromammals_13_15,Sus scrofa,13,13,45452,11/6/03,8/2/12,3192,60,750.8,6.05798722,50.5833395,"Belgium, Germany","BEL, DEU"
wildboar_euromammals_13_16,Sus scrofa,7,6,56310,8/8/12,9/17/17,1866,59,281.6,5.38268431,50.2759061,Belgium,BEL
wildboar_euromammals_13_17,Sus scrofa,3,3,26334,7/3/11,11/13/12,499,15,78,5.10307366,50.45785,Belgium,BEL
wildboar_euromammals_13_18,Sus scrofa,20,20,79759,10/5/05,12/26/12,2639,60,442.9,5.3828764,50.0871214,Belgium,BEL
wildboar_euromammals_13_19,Sus scrofa,4,4,33898,10/13/12,6/4/13,234,15,14.3,4.3989923,50.257049,Belgium,BEL
wildboar_euromammals_18_20,Sus scrofa,13,12,19467,1/14/10,10/6/11,630,120,2853.7,23.805197,52.7766939,Poland,POL
wildboar_euromammals_2_22,Sus scrofa,17,17,194735,8/20/13,11/13/15,815,30,92.9,7.33666663,48.8267315,France,-99
wildboar_euromammals_2_40,Sus scrofa,31,23,148691,6/9/05,11/22/14,3453,15,2349.7,4.96394685,48.0184311,France,-99
wildboar_euromammals_25_21,Sus scrofa,20,20,90771,4/19/10,8/23/15,1952,60,239.5,17.2246684,46.2907206,Hungary,HUN
wildboar_euromammals_25_59,Sus scrofa,4,4,28652,5/28/15,6/28/17,762,60,104.2,17.8568805,46.9203728,Hungary,HUN
wildboar_euromammals_28_74,Sus scrofa,13,13,115754,8/22/18,10/11/23,1876,60,31.8,15.4880835,58.90869,Sweden,SWE
wildboar_euromammals_28_75,Sus scrofa,20,20,147176,1/24/19,8/19/24,2034,60,1395.6,15.4168288,59.6539891,Sweden,SWE
wildboar_euromammals_28_76,Sus scrofa,25,25,194876,9/24/18,4/23/24,2038,60,77.1,12.402713,58.1105986,Sweden,SWE
wildboar_euromammals_28_77,Sus scrofa,6,6,48777,8/30/18,7/11/24,2142,60,315.5,17.6807562,58.9508769,"Sweden, NA","SWE, NA"
wildboar_euromammals_28_78,Sus scrofa,11,11,84868,9/9/19,10/31/23,1513,60,66.9,15.131088,58.0709446,Sweden,SWE
wildboar_euromammals_28_84,Sus scrofa,1,1,9780,10/26/20,11/17/21,387,60,9.7,17.7358259,59.2586807,Sweden,SWE
wildboar_euromammals_29_79,Sus scrofa,60,60,602758,4/6/17,8/2/19,848,29,688.7,10.4614477,51.0644378,Germany,DEU
wildboar_euromammals_3_31,Sus scrofa,10,10,39606,7/10/13,7/16/17,1467,15,29,5.60921789,50.9554393,Belgium,BEL
wildboar_euromammals_3_32,Sus scrofa,9,9,28831,1/10/13,7/25/17,1657,15,76.1,5.34693782,51.0483459,Belgium,BEL
wildboar_euromammals_40_46,Sus scrofa,8,8,42906,3/15/15,8/11/16,515,15,54.9,8.07937627,47.4949203,Switzerland,CHE
wildboar_euromammals_40_47,Sus scrofa,21,21,433198,5/28/14,8/12/17,1172,15,206.3,7.10621413,47.0194662,Switzerland,CHE
wildboar_euromammals_40_48,Sus scrofa,7,7,94687,11/6/14,9/30/16,694,15,575.9,8.21913381,47.5857069,"Switzerland, Germany","CHE, DEU"
wildboar_euromammals_41_60,Sus scrofa,11,11,74604,7/1/13,3/29/15,636,30,47.5,13.397361,52.5335207,Germany,DEU
wildboar_euromammals_42_83,Sus scrofa,42,41,172111,10/21/21,1/31/23,467,30,1395.9,13.4685103,48.9953032,"Czechia, Germany","CZE, DEU"
wildboar_euromammals_50_81,Sus scrofa,17,2,268,5/17/18,3/9/21,1027,30,0.1,4.3451263,43.9252674,France,-99
wildboar_euromammals_6_39,Sus scrofa,10,10,56391,8/9/06,4/18/08,618,5,69.8,5.93109363,46.1328676,"France, Switzerland","-99, CHE"
buffalo_botswana,Syncerus caffer,42,41,121673,9/24/07,7/14/20,4677,300,1536.8,23.0152938,-18.040474,"Namibia, Botswana, Zambia, Angola","NAM, BWA, ZMB, AGO"
